SubPartidas Arancelarias,Descripción del producto
430110,"peleteria en bruto, de vison, enteras, incluso sin cabeza, colas o pa"
430120,"peleteria de conejo o liebre en bruto, enteras, incluso sin cabezas, c"
430130,"peleteria en bruto, de corderos de astracan, breitschwanz, caracul y s"
430140,"peleteria en bruto, de castor, enteras, incluso sin cabeza, colas o pa"
430150,"peleteria en bruto, de rata almizclera entera, incluso sin cabezas, co"
430160,"peleteria en bruto, de zorro, entera, incluso sin cabeza, cola o patas"
430170,"peleteria en bruto, de foca o de otaria, entera, incluso sin cabeza, c"
430180,"peleteria en bruto, las demas, incluso sin cabeza, colas o las patas."
430190,"cabezas, colas, patas, y trozos utilizables en peleteria."
430211,"pieles enteras, de vison, curtida o adobada, sin ensamblar."
430212,"pieles enteras, de conejo o de liebre, curtida o adobada, sin ensambla"
430213,"pieles enteras, de corderos de astracan, caracul, persa o similares, d"
430219,"las demas pieles enteras, curtidas o adobadas, sin ensamblar."
430220,"cabezas, colas, patas y trozos, desechos y recortes, sin ensamblar."
430230,"pieles enteras, trozos y recortes, ensamblados, curtidos o adobados."
430310,"prendas y complementos de vestir, de peleteria"
430390,los demas articulos de peleteria.
430400,peleteria artificial o facticia y articulos de peleteria artificial o
440110,lena.
440121,madera plaquita o particula de coniferas
440122,"las demas maderas en plaquitas o en particulas, excepto las de conifer"
440130,"aserrin, desperdicios y desechos, de madera, incluso aglomerada en bol"
440200,"carbon vegetal (incluido el de cascaras o de huesos de frutas), aunque"
440210,"Carbón vegetal (comprendido el de cáscaras o de huesos (carozos) de frutos), incluso aglom"
440290,"Carbón vegetal (comprendido el de cáscaras o de huesos (carozos) de frutos), incluso aglom"
440310,"maderas en bruto tratadas con pintura, creosota u otros agentes de con"
440320,las demas maderas en bruto de coniferas
440341,"maderas del tipo dark red meranti, light red meranti y meranti bakau"
440349,las demas maderas tropicales citadas en la subpartida 1 este capitulo
440391,"madera de encina, roble, alcornoque y demas"
440392,"madera de haya, en bruto, incluso descortezada, desalburada o escuadra"
440399,"las demas madereas, en bruto, incluso descortezada."
440410,"flejes, rodrigones, de coniferas."
440420,"flejes, rodrigones, estacas, madera desbastada, en tablilla, distinta"
440500,lana (viruta) de madera; harina de madera.
440610,"traviesas de madera para vias ferreas, sin impregnar"
440690,las demas traviesas de madera para vias ferreas o similares
440710,madera aserrada o desbastada longitudinalmente de coniferas.
440721,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada,"
440722,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada,"
440724,"maderas aserrada o desbastadas longitudinalmente de virola, mahogany"
440725,"madera aserrada o desbastada longitudinalmente de dark red meranti,lig"
440726,"madera aserrada o desbastada longitudinalmente de white lauan, white"
440727,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada,"
440728,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada,"
440729,las demas maderas aserradas o desbastadas longitudinalmente
440791,"maderas aserradas o desbastada longitudinalmente de encina, roble,alcr"
440792,madera aserrada o desbastada longitudinalmente de haya.
440793,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada,"
440794,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada,"
440795,"Madera aserrada o desbastada longitudinalmente, cortada o desenrollada, incluso cepillada,"
440799,las demas madera tropicales aserradas o desbastadas longitudinalmente
440810,hojas para chapado y contrachapado de coniferas de espesor inferior o
440831,"hojas para chapado y contrachapado de maderas dark red meranti,light"
440839,las demas hojas para chapado y contrachapado de maderas tropicales
440890,"hojas para chapado y contrachapado,de las demas maderas."
440910,madera conifera perfilada longitudinalmente de coniferas
440920,maderas perfiladas longitudinalmente de no coniferas
440921,"Madera, incluidas las tablillas y frisos para parqués, sin ensamblar, perfilada longitudin"
440929,"Madera, incluidas las tablillas y frisos para parqués, sin ensamblar, perfilada longitudin"
441011,"tableros llamados waferboard, incl.los llamados oriented strand board"
441012,"Tableros de partículas, tableros llamados «oriented strand board» (OSB) y tableros similar"
441019,los demas tableros de particulas y tableros similares de maderas
441021,">Tableros llamados oriented strand board o waferboard, de madera, en bruto o simplemente l"
441029,">Tableros llamados oriented strand board o waferboard, de madera (exc. en bruto o simpleme"
441031,"Tableros de partículas y tableros similares, de madera u otras materias leñosas, incl. agl"
441032,"Tableros de partículas y tableros similares, de madera u otras materias leñosas, incl. agl"
441033,"Tableros de partículas y tableros similares, de madera u otras materias leñosas, incl. agl"
441039,"Tableros de partículas y tableros similares, de madera u otras materias leñosas, incl. agl"
441090,tableros de otras materias leñosas
441111,"tableros de fibra de madera con masa volumica superior a 0,8 g/cm3, si"
441112,"Tableros de fibra de madera u otras materias leñosas, incluso aglomeradas con resinas o de"
441113,"Tableros de fibra de madera u otras materias leñosas, incluso aglomeradas con resinas o de"
441114,"Tableros de fibra de madera u otras materias leñosas, incluso aglomeradas con resinas o de"
441119,"tableros de fibra de madera con masa volumica superior a 0,8 g/cm3, co"
441121,"tableros de fibra de madera con masa volumica superior a 0,5 g/cm3 per"
441129,"los demas tableros de fibra de madera con masa volumica superior a 0,5"
441131,"tableros de fibra masa volumica sup. 0,35 g/cm3 e inf. o igual 0,5, si"
441139,"los demas tableros de fibra masa volumica sup. 0,35 g/cm3 e inf. o igu"
441191,"los demas tableros de fibra de madera, sin trabajo mecanico ni recubri"
441192,"Tableros de fibra de madera u otras materias leñosas, incluso aglomeradas con resinas o de"
441193,"Tableros de fibra de madera u otras materias leñosas, incluso aglomeradas con resinas o de"
441194,"Tableros de fibra de madera u otras materias leñosas, incluso aglomeradas con resinas o de"
441199,"los demas tableros de fibra de madera,con una masa volumica superior a"
441210,"Madera contrachapada, madera chapada y madera estratificada similar : De bambú"
441213,"madera contrachapada, constituida por lo menos una hoja externa de ma"
441214,"las demas maderas contrachapadas, que tengan por lo menos una hoja ex"
441219,las demas maderas contrachapada de maderas tropicales.
441222,"las demas madera, con una hoja de maderas tropicales de la subpartida1"
441223,"las demas maderas, que contengan, por lo menos un tablero de particula"
441229,"las demas maderas una hoja externa, por lo menos de maderas distintas"
441231,"Madera contrachapada, madera chapada y madera estratificada similar : Las demás maderas co"
441232,"Madera contrachapada, madera chapada y madera estratificada similar : Las demás maderas co"
441239,"Madera contrachapada, madera chapada y madera estratificada similar : Las demás maderas co"
441292,"las demas maderas contrachapadas, que contengan por lo menos una hoja"
441293,las demas maderas que contengan por lo menos un tablero de particulas
441294,"Madera contrachapada, madera chapada y madera estratificada similar : Las demás : Tableros"
441299,"las demas maderas contrachapada, madera chapada y madera estratificada"
441300,"maderas densificada en bloques, planchas, tablas o perfiles."
441400,"marcos de madera para cuadros, fotografias, espejos u objetos similare"
441510,"cajas , cajitas, jaulas, tambores y envases similares; tambores para c"
441520,"paletas, paletas-caja y otras plataformas para carga, de madera"
441600,"barriles, cubas, tinas y demas manufacturas de toneleria y sus partes,"
441700,"herramientas, monturas y mangos de herramientas, monturas de cepillos,"
441810,"ventanas, puertas-ventanas y sus marcos."
441820,puertas y sus marcos y umbrales.
441830,"tableros para parques, de madera."
441840,"encofrados para hormigon, de madera."
441850,"tejas y ripia, de madera."
441860,"Obras y piezas de carpintería para construcciones, incluidos los tableros celulares, los t"
441871,"Obras y piezas de carpintería para construcciones, incluidos los tableros celulares, los t"
441872,"Obras y piezas de carpintería para construcciones, incluidos los tableros celulares, los t"
441879,"Obras y piezas de carpintería para construcciones, incluidos los tableros celulares, los t"
441890,las demas obras de carpinterias para construccion de madera
441900,articulos de mesa o de cocina de madera
442010,"estatuillas y demas objetos de adorno, de madera"
442090,"maqueteria y taracea; cofres, cajas y estuches para joya u orfebreria"
442110,"perchas para prendas de vestir, de madera."
442190,las demas manufacturas de madera.
450110,corcho natural en bruto o simplemente preparado.
450190,"desperdicios de corcho; corcho triturado, granulado o pulverizado."
450200,"corcho natural, descortezado o simplemente escuadrado, o en cubos, pla"
450310,tapones de corcho
450390,"las demas manufacturas de corcho natural, excepto tapones."
450410,"cubos,placas,planchas,hojas y bandas; baldosas de cualquier forma; cil"
450490,las demas manufacturas de corcho aglomerado
460110,"trenzas y articulos similares de materias trenzables, incluso ensambla"
460120,"esterillas, esteras y canizos, de materias vegetales."
460121,"Trenzas y artículos similares, de materia trenzable, incluso ensamblados en tiras; materia"
460122,"Trenzas y artículos similares, de materia trenzable, incluso ensamblados en tiras; materia"
460129,"Trenzas y artículos similares, de materia trenzable, incluso ensamblados en tiras; materia"
460191,"las demas materias trenzables y articulos similares, de materias veget"
460192,"Trenzas y artículos similares, de materia trenzable, incluso ensamblados en tiras; materia"
460193,"Trenzas y artículos similares, de materia trenzable, incluso ensamblados en tiras; materia"
460194,"Trenzas y artículos similares, de materia trenzable, incluso ensamblados en tiras; materia"
460199,las demas materias trenzables y articulos similares.
460210,artesania en cesteria de materias vegetales
460211,Artículos de cestería obtenidos directamente en su forma con materia trenzable o confeccio
460212,Artículos de cestería obtenidos directamente en su forma con materia trenzable o confeccio
460219,Artículos de cestería obtenidos directamente en su forma con materia trenzable o confeccio
460290,"los demas articulos de cesteria, excepto de materias vegetales."
470100,pasta mecanica de madera.
470200,pasta quimica de madera para disolver
470311,pasta quimica de madera cruda de coniferas.
470319,pasta quimica de madera cruda distinta de la de coniferas.
470321,pasta quimica de madera de coniferas semiblanqueadas o blanqueadas
470329,pasta quimica de madera semiblanqueada o blanqueada distinta de la de
470411,"pasta quimica de coniferas, al sulfito, cruda."
470419,"pasta quimica de madera al sulfito, cruda, distinta de la de coniferas"
470421,"pasta quimica de coniferas al sulfito, semiblanqueada o blanqueada."
470429,"pasta quimica de madera al sulfito, semiblanqueada o blanqueada, disti"
470500,pasta semiquimica de madera.
470610,pasta de linter de algodon.
470620,pasta de fibras obtenidas de papel o carton reciclados (desperdicios)
470630,Pasta de fibras obtenidas de papel o cartón reciclado (desperdicios y desechos) o de las d
470691,"las demas pastas de otras materias fibrosas celulosicas, mecanicas."
