code,service
848190,Manejo de aguas residuales y potabilización del agua
848210,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
848220,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
848230,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
848240,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
848250,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
848280,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
848291,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
848299,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
848340,Plantas de energías renovables
848360,Plantas de energías renovables
850161,Plantas de energías renovables
850162,Plantas de energías renovables
850163,Plantas de energías renovables
850164,Plantas de energías renovables
850220,Gestión del calor y la energía
850230,Plantas de energías renovables
850230,Plantas de energías renovables
850300,Plantas de energías renovables
850410,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850421,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850422,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850423,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850431,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850432,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850433,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850434,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850440,Plantas de energías renovables
850450,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850490,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850511,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850519,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850520,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850530,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
850590,Utilizado para el tratamiento o reciclaje de residuos sólidos
850611,"Energías renovables, productos renovables y fuentes de energía"
850612,"Energías renovables, productos renovables y fuentes de energía"
850613,"Energías renovables, productos renovables y fuentes de energía"
850619,Productos más limpios y eficientes en el uso de recursos
850619,Productos más limpios y eficientes en el uso de recursos
850619,Productos más limpios y eficientes en el uso de recursos
850690,"Energías renovables, productos renovables y fuentes de energía"
850720,Plantas de energías renovables
